2012-07-23 11:28:42,147 INFO  [dk.frv.ais.reader.AisReader] VDM failed: null line: !BSVDM,1,1,,A,13B2PD700RPUuG0OdCtVh5;820SP,0*2E tag: GatehouseSourceTag [baseMmsi=null, country=DK, region=13, timestamp=Mon Jul 02 12:39:37 CEST 2012]
2012-07-23 11:28:42,153 INFO  [dk.frv.ais.reader.AisReader] VDM failed: null line: !AIVDM,1,1,,B,13@o4=@P010eTg0Pu7U9Uww>2<0a,0*0C tag: GatehouseSourceTag [baseMmsi=null, country=DK, region=5, timestamp=Mon Jul 02 12:39:37 CEST 2012]
2012-07-23 11:28:42,167 INFO  [dk.frv.ais.reader.AisReader] VDM failed: null line: !AIVDM,1,1,,B,13@ngfP0010fuUpOwSNIK25<05BL,0*78 tag: GatehouseSourceTag [baseMmsi=null, country=DK, region=9, timestamp=Mon Jul 02 12:39:37 CEST 2012]
2012-07-23 11:28:42,169 INFO  [dk.frv.ais.reader.AisReader] VDM failed: null line: !AIVDM,1,1,,B,15CAkV002<PRrITPIpSWl6E:08FF,0*3D tag: GatehouseSourceTag [baseMmsi=null, country=DK, region=54, timestamp=Mon Jul 02 12:39:38 CEST 2012]
2012-07-23 11:28:42,173 INFO  [dk.frv.ais.reader.AisReader] VDM failed: null line: !BSVDM,1,1,,A,13@nvqp0000VS=vOgSvn>GK<08Eu,0*7F tag: GatehouseSourceTag [baseMmsi=null, country=DK, region=13, timestamp=Mon Jul 02 12:39:38 CEST 2012]
2012-07-23 11:28:42,174 INFO  [dk.frv.ais.reader.AisReader] VDM failed: null line: !BSVDM,1,1,,A,10Dpch?P000T36nOhk>@0?w808FT,0*09 tag: GatehouseSourceTag [baseMmsi=null, country=DK, region=13, timestamp=Mon Jul 02 12:39:38 CEST 2012]
2012-07-23 11:28:42,174 INFO  [dk.frv.ais.reader.AisReader] VDM failed: null line: !BSVDM,1,1,,A,13Pchd002CPOm70P3J`>2c=80d0?,0*7E tag: GatehouseSourceTag [baseMmsi=null, country=DK, region=13, timestamp=Mon Jul 02 12:39:38 CEST 2012]
2012-07-23 11:28:42,175 INFO  [dk.frv.ais.reader.AisReader] VDM failed: null line: !BSVDM,1,1,,B,13@oSO003I0RdCtOlj6GHUs<05BL,0*27 tag: GatehouseSourceTag [baseMmsi=null, country=DK, region=13, timestamp=Mon Jul 02 12:39:38 CEST 2012]
2012-07-23 11:28:42,175 INFO  [dk.frv.ais.reader.AisReader] VDM failed: null line: !BSVDM,1,1,,B,33@oGaPOh@0T2VdOh>s@Rhs<00th,0*25 tag: GatehouseSourceTag [baseMmsi=null, country=DK, region=13, timestamp=Mon Jul 02 12:39:38 CEST 2012]
2012-07-23 11:28:42,204 INFO  [dk.frv.ais.reader.AisReader] VDM failed: null line: !BSVDM,1,1,,B,13@rRn0PATPMeldP:rkl5k:v08B?,0*4D tag: GatehouseSourceTag [baseMmsi=null, country=DK, region=13, timestamp=Mon Jul 02 12:39:38 CEST 2012]
2012-07-23 11:28:42,205 INFO  [dk.frv.ais.reader.AisReader] VDM failed: null line: !BSVDM,1,1,,B,13B1q@00000VPP8Ogb=`MDI<08F>,0*39 tag: GatehouseSourceTag [baseMmsi=null, country=DK, region=13, timestamp=Mon Jul 02 12:39:38 CEST 2012]
2012-07-23 11:28:42,205 INFO  [dk.frv.ais.reader.AisReader] VDM failed: null line: !BSVDM,1,1,,A,33@o@C@P@=0Vjk4Of`KQu9q<00nh,0*79 tag: GatehouseSourceTag [baseMmsi=null, country=DK, region=13, timestamp=Mon Jul 02 12:39:38 CEST 2012]
2012-07-23 11:28:42,206 INFO  [dk.frv.ais.reader.AisReader] VDM failed: null line: !BSVDM,1,1,,B,19NWoBh01i0HbJDP;7J2V2980@FM,0*2E tag: GatehouseSourceTag [baseMmsi=null, country=DK, region=13, timestamp=Mon Jul 02 12:39:38 CEST 2012]
2012-07-23 11:28:42,234 INFO  [dk.frv.ais.reader.AisReader] VDM failed: null line: !BSVDM,1,1,,A,13A:ir001R0TwTVOVI;GiV9>0<0j,0*6D tag: GatehouseSourceTag [baseMmsi=null, country=DK, region=13, timestamp=Mon Jul 02 12:39:39 CEST 2012]
2012-07-23 11:28:42,235 INFO  [dk.frv.ais.reader.AisReader] VDM failed: null line: !BSVDM,1,1,,A,13AUI25OhQPIKQjP<=V<uIw<20B8,0*4C tag: GatehouseSourceTag [baseMmsi=null, country=DK, region=13, timestamp=Mon Jul 02 12:39:39 CEST 2012]
2012-07-23 11:28:42,235 INFO  [dk.frv.ais.reader.AisReader] VDM failed: null line: !BSVDM,1,1,,B,13?qn>00000VV4>OgHAl>lM>0<0r,0*38 tag: GatehouseSourceTag [baseMmsi=null, country=DK, region=13, timestamp=Mon Jul 02 12:39:39 CEST 2012]
2012-07-23 11:28:42,240 INFO  [dk.frv.ais.reader.AisReader] VDM failed: null line: !AIVDM,1,1,,B,13@ng7P01h0f3KnOQTcho0W@00Rg,0*1C tag: GatehouseSourceTag [baseMmsi=null, country=DK, region=9, timestamp=Mon Jul 02 12:39:38 CEST 2012]
2012-07-23 11:28:42,262 INFO  [dk.frv.ais.reader.AisReader] VDM failed: null line: !BSVDM,1,1,,B,13AUI25OhQPIKQjP<=V<uIw<20G2,0*40 tag: GatehouseSourceTag [baseMmsi=null, country=DK, region=13, timestamp=Mon Jul 02 12:39:39 CEST 2012]
2012-07-23 11:28:42,263 INFO  [dk.frv.ais.reader.AisReader] VDM failed: null line: !AIVDM,1,1,,A,13Fs4>0000PVe3:OfVtEs83:05BT,0*6E tag: GatehouseSourceTag [baseMmsi=null, country=DK, region=13, timestamp=Mon Jul 02 12:39:39 CEST 2012]
2012-07-23 11:28:42,263 INFO  [dk.frv.ais.reader.AisReader] VDM failed: null line: !BSVDM,1,1,,B,33@ng7?01F0VPNpOfgK8IVm>011@,0*33 tag: GatehouseSourceTag [baseMmsi=null, country=DK, region=13, timestamp=Mon Jul 02 12:39:39 CEST 2012]
2012-07-23 11:28:42,301 INFO  [dk.frv.ais.reader.AisReader] VDM failed: null line: !AIVDM,1,1,,B,14QsFMP0010fk:JP81ra77C>08Gm,0*30 tag: GatehouseSourceTag [baseMmsi=null, country=DK, region=2, timestamp=Mon Jul 02 12:39:40 CEST 2012]
2012-07-23 11:28:42,306 INFO  [dk.frv.ais.reader.AisReader] VDM failed: null line: !AIVDM,1,1,,B,39NS9ji0000j>B4Op8?e86m>0000,0*2A tag: GatehouseSourceTag [baseMmsi=null, country=DK, region=7, timestamp=Mon Jul 02 12:39:40 CEST 2012]
2012-07-23 11:28:42,317 INFO  [dk.frv.ais.reader.AisReader] VDM failed: null line: !BSVDM,1,1,,B,13c9gV?0000VPhVOgWFUEDM@00Sc,0*02 tag: GatehouseSourceTag [baseMmsi=null, country=DK, region=13, timestamp=Mon Jul 02 12:39:40 CEST 2012]
2012-07-23 11:28:42,344 INFO  [dk.frv.ais.reader.AisReader] VDM failed: null line: !BSVDM,1,1,,B,18154o001r0LVJ@OeI3`B6S@05BL,0*55 tag: GatehouseSourceTag [baseMmsi=null, country=DK, region=13, timestamp=Mon Jul 02 12:39:40 CEST 2012]
2012-07-23 11:28:42,345 INFO  [dk.frv.ais.reader.AisReader] VDM failed: null line: !BSVDM,1,1,,B,33@oP>hOhQ0Sks8Oglhb7Va@0000,0*2E tag: GatehouseSourceTag [baseMmsi=null, country=DK, region=13, timestamp=Mon Jul 02 12:39:40 CEST 2012]
2012-07-23 11:28:42,345 INFO  [dk.frv.ais.reader.AisReader] VDM failed: null line: !BSVDM,1,1,,A,33@ng6p00E0V`N@Og1rArGK@00ri,0*72 tag: GatehouseSourceTag [baseMmsi=null, country=DK, region=13, timestamp=Mon Jul 02 12:39:40 CEST 2012]
2012-07-23 11:28:42,345 INFO  [dk.frv.ais.reader.AisReader] VDM failed: null line: !BSVDM,1,1,,A,13cHTl80000VjfLOf`wt0ik@2@G`,0*6D tag: GatehouseSourceTag [baseMmsi=null, country=DK, region=13, timestamp=Mon Jul 02 12:39:40 CEST 2012]
2012-07-23 11:28:42,346 INFO  [dk.frv.ais.reader.AisReader] VDM failed: null line: !BSVDM,1,1,,A,33@oGaPOh?0T2VhOh>v0M@wB012A,0*03 tag: GatehouseSourceTag [baseMmsi=null, country=DK, region=13, timestamp=Mon Jul 02 12:39:40 CEST 2012]
2012-07-23 11:28:42,347 INFO  [dk.frv.ais.reader.AisReader] VDM failed: null line: !BSVDM,1,1,,A,13@oJ;OP010VbFJOg7`GC?w>0L0g,0*53 tag: GatehouseSourceTag [baseMmsi=null, country=DK, region=13, timestamp=Mon Jul 02 12:39:40 CEST 2012]
2012-07-23 11:28:42,347 INFO  [dk.frv.ais.reader.AisReader] VDM failed: null line: !BSVDM,1,1,,B,13@nlIh0000VSs8OgKnawV9B20SJ,0*3E tag: GatehouseSourceTag [baseMmsi=null, country=DK, region=13, timestamp=Mon Jul 02 12:39:40 CEST 2012]
2012-07-23 11:28:42,348 INFO  [dk.frv.ais.reader.AisReader] VDM failed: null line: !BSVDM,1,1,,A,13B4Q>9P010VSMjOgTWIcgwB2HGi,0*59 tag: GatehouseSourceTag [baseMmsi=null, country=DK, region=13, timestamp=Mon Jul 02 12:39:40 CEST 2012]
2012-07-23 11:28:42,348 INFO  [dk.frv.ais.reader.AisReader] VDM failed: null line: !BSVDM,1,1,,B,33@o@C@P@=0VjkdOf`N25qcB010Q,0*4E tag: GatehouseSourceTag [baseMmsi=null, country=DK, region=13, timestamp=Mon Jul 02 12:39:40 CEST 2012]
2012-07-23 11:28:42,349 INFO  [dk.frv.ais.reader.AisReader] VDM failed: null line: !BSVDM,1,1,,B,13B50N700O0V2L>Ob9>Wi6;B0D0b,0*14 tag: GatehouseSourceTag [baseMmsi=null, country=DK, region=13, timestamp=Mon Jul 02 12:39:40 CEST 2012]
2012-07-23 11:28:42,376 INFO  [dk.frv.ais.reader.AisReader] VDM failed: null line: !BSVDM,1,1,,B,33@oU90P@W0RiW`Om9>C:j5B0000,0*75 tag: GatehouseSourceTag [baseMmsi=null, country=DK, region=13, timestamp=Mon Jul 02 12:39:41 CEST 2012]
2012-07-23 11:28:42,376 INFO  [dk.frv.ais.reader.AisReader] VDM failed: null line: !BSVDM,1,1,,A,13cH`f0001PVcq8Of`Sb:GkB20RM,0*0C tag: GatehouseSourceTag [baseMmsi=null, country=DK, region=13, timestamp=Mon Jul 02 12:39:41 CEST 2012]
2012-07-23 11:28:42,377 INFO  [dk.frv.ais.reader.AisReader] VDM failed: null line: !BSVDM,1,1,,B,13ktpn002;PPcgpOh8a7l6?@00S3,0*4E tag: GatehouseSourceTag [baseMmsi=null, country=DK, region=13, timestamp=Mon Jul 02 12:39:41 CEST 2012]
2012-07-23 11:28:42,389 INFO  [dk.frv.ais.reader.AisReader] VDM failed: null line: !AIVDM,1,1,,B,13ll=`001a0jSPvP=fkSW37D2<1E,0*5B tag: GatehouseSourceTag [baseMmsi=null, country=DK, region=2, timestamp=Mon Jul 02 12:39:41 CEST 2012]
2012-07-23 11:28:42,400 INFO  [dk.frv.ais.reader.AisReader] VDM failed: null line: !BSVDM,1,1,,B,33@ng7OPAK0VNUvOg`Jm7TCD0110,0*57 tag: GatehouseSourceTag [baseMmsi=null, country=DK, region=13, timestamp=Mon Jul 02 12:39:41 CEST 2012]
2012-07-23 11:28:42,424 INFO  [dk.frv.ais.reader.AisReader] VDM failed: null line: !BSVDM,1,1,,A,13Lc:l00000VSc8OgOGdd:MB0D0g,0*1C tag: GatehouseSourceTag [baseMmsi=null, country=DK, region=13, timestamp=Mon Jul 02 12:39:42 CEST 2012]
2012-07-23 11:28:42,424 INFO  [dk.frv.ais.reader.AisReader] VDM failed: null line: !BSVDM,1,1,,A,33@oP>hOhG0SkrPOglhUDnaD01;P,0*40 tag: GatehouseSourceTag [baseMmsi=null, country=DK, region=13, timestamp=Mon Jul 02 12:39:42 CEST 2012]
2012-07-23 11:28:42,425 INFO  [dk.frv.ais.reader.AisReader] VDM failed: null line: !BSVDM,1,1,,A,33AUI2500NPIKPdP<=b<09wB26uQ,0*5E tag: GatehouseSourceTag [baseMmsi=null, country=DK, region=13, timestamp=Mon Jul 02 12:39:42 CEST 2012]
2012-07-23 11:28:42,425 INFO  [dk.frv.ais.reader.AisReader] VDM failed: null line: !BSVDM,1,1,,A,13lh0601jNPOPrHP6EKA;15B00SG,0*2F tag: GatehouseSourceTag [baseMmsi=null, country=DK, region=13, timestamp=Mon Jul 02 12:39:42 CEST 2012]
2012-07-23 11:28:42,426 INFO  [dk.frv.ais.reader.AisReader] VDM failed: null line: !BSVDM,1,1,,A,13@of:h0010RjprOllW6;FQD0UBL,0*30 tag: GatehouseSourceTag [baseMmsi=null, country=DK, region=13, timestamp=Mon Jul 02 12:39:42 CEST 2012]
2012-07-23 11:28:42,426 INFO  [dk.frv.ais.reader.AisReader] VDM failed: null line: !BSVDM,1,1,,B,13@oWt@000PRhUPOlq15Aa?D08Ha,0*01 tag: GatehouseSourceTag [baseMmsi=null, country=DK, region=13, timestamp=Mon Jul 02 12:39:42 CEST 2012]
2012-07-23 11:28:42,450 INFO  [dk.frv.ais.reader.AisReader] VDM failed: null line: !BSVDM,1,1,,B,138dnD00200MViFOdBBi5@uB00R@,0*5C tag: GatehouseSourceTag [baseMmsi=null, country=DK, region=13, timestamp=Mon Jul 02 12:39:42 CEST 2012]
